ICAO,ВК,Часть,Вид,Кандидат,Аэропорт,Пассажиропоток,"Груз, тонн","Почта, тонн","Цена ТС-1, руб",Категория,Учитывать,Имя
UNAA,1,ОЧП,УА,True,Абакан,185185,1000.04,168.59,73889,1,False,UNAA | ABA | Абакан
UERA,3,ОЧП,АН,False,Айхал,1489,88.41,0.0,0,2,False,UERA | Айхал
UEEA,3,ОЧП,АН,False,Алдан,3340,11.45,2.95,0,2,False,UEEA | ADH | Алдан
ULDD,2,ОЧП,АН,True,Амдерма,1476,8.55,10.18,0,1,False,ULDD | AMV | Амдерма
UHMA,2,ОЧП,УА,True,Анадырь,95538,2164.34,1291.0,73600,1,False,UHMA | DYR | Анадырь | Угольный
URKA,1,ОЧП,УА,True,Анапа,1362793,729.05,0.0,66526,1,False,URKA | AAQ | Анапа | Витязево
ULMK,2,ОЧП,УА,True,Апатиты,60119,23.7,0.0,64000,1,False,ULMK | KVK | Апатиты | Хибины
ULAA,2,ОЧП,УА,True,Архангельск,891867,2508.08,782.18,62350,1,False,ULAA | ARH | Архангельск | Талаги
URWA,1,ОЧП,УА,True,Астрахань,580910,801.22,307.82,61825,1,False,URWA | ASF | Астрахань
UHNA,3,ОЧП,АН,False,Аян,2394,33.83,12.66,0,3,False,UHNA | Аян | Мунук
UNIB,3,ОЧП,АН,True,Байкит,31268,216.06,21.94,64565,1,False,UNIB | Байкит
UWSB,3,ОЧП,УА,True,Балаково,0,0.0,0.0,0,1,False,UWSB | BWO | Балаково | Малая Быковка
UNBB,1,ОЧП,УА,True,Барнаул,512317,2539.72,609.43,62900,1,False,UNBB | BAX | Барнаул | Имени Германа Титова
UEBB,3,ОЧП,АН,False,Батагай,29314,864.8,67.33,0,2,False,UEBB | Батагай
UESG,2,ОЧП,АН,False,Белая Гора,11884,271.39,21.25,0,2,False,UESG | BGN | Белая Гора
UUOB,1,ОЧП,УА,True,Белгород,468773,46.33,0.0,57000,1,False,UUOB | EGO | Белгород
UHMR,2,ОЧП,АН,False,Беринговский,2534,23.0,40.0,0,2,False,UHMR | Беринговский
UHBB,1,ОЧП,УА,True,Благовещенск,398705,4188.3,360.2,71400,1,False,UHBB | BQS | Благовещенск | Игнатьево
USDB,2,ОЧП,АН,True,Бованенково,128812,13.22,0.0,63821,1,False,USDB | BVJ | Бованенково
UHNB,3,ОЧП,АН,True,Богородское,1235,2.13,2.1,0,1,False,UHNB | BQG | Богородское
UIKB,3,ОЧП,АН,False,Бодайбо,51910,774.73,123.33,56276,2,False,UIKB | ODO | Бодайбо
UHHG,3,ОЧП,АН,False,Бомнак,0,0.0,0.0,0,3,False,UHHG | Бомнак
UIBB,3,ОЧП,УА,True,Братск,115548,721.01,104.89,65900,1,False,UIBB | BTK | Братск
UUBP,3,ОЧП,УА,True,Брянск,20444,30.39,0.0,55917,1,False,UUBP | BZK | Брянск
UNIW,3,ОЧП,АН,True,Ванавара,1466,6.58,3.63,73562,1,False,UNIW | Ванавара
ULDW,2,ОЧП,АН,True,Варандей,15569,0.0,0.0,71000,1,False,ULDW | VRI | Варандей
ULLK,2,ОЧП,УА,True,Великий Новгород,0,0.0,0.0,0,1,False,ULLK | Великий Новгород | Кречевицы
UENI,3,ОЧП,АН,False,Верхневилюйск,3014,9.98,2.4,0,2,False,UENI | VHV | Верхневилюйск
UENW,3,ОЧП,АН,True,Вилюйск,4639,12.86,5.24,0,1,False,UENW | VYI | Вилюйск
UHWW,1,ОЧП,УА,True,Владивосток,2171922,23317.2,2176.96,65310,1,False,UHWW | VVO | Владивосток | Кневичи
URMO,1,ОЧП,УА,True,Владикавказ,439684,486.33,222.6,62500,1,False,URMO | OGZ | Владикавказ | Беслан
URWW,1,ОЧП,УА,True,Волгоград,1013823,873.2,766.0,61530,1,False,URWW | VOG | Волгоград | Гумрак
ULWW,3,ОЧП,УА,True,Вологда,5315,0.3,0.0,56713,1,False,ULWW | VGD | Вологда
UUYW,2,ОЧП,АН,True,Воркута,26350,94.95,19.58,59566,1,False,UUYW | VKT | Воркута
UUOO,3,ОЧП,УА,True,Воронеж,606289,202.59,278.68,45800,1,False,UUOO | VOZ | Воронеж | Чертовицкое
URKG,1,ОЧП,УА,True,Геленджик,294865,7.43,0.0,63593,1,False,URKG | GDZ | Геленджик
UNBG,1,ОЧП,УА,True,Горно-Алтайск,60232,0.0,0.0,64335,1,False,UNBG | RGK | Горно-Алтайск
URMG,1,ОЧП,УА,True,Грозный,283202,493.39,0.62,61400,1,False,URMG | GRV | Грозный | Северный
UEBD,2,ОЧП,АН,False,Депутатский,14213,438.73,51.75,0,2,False,UEBD | Депутатский
UODD,2,ОЧП,АН,True,Диксон,0,0.0,0.0,0,1,False,UODD | DKS | Диксон
USSS,3,ОЧП,УА,False,Екатеринбург,5277434,19340.27,5205.54,70549,1,False,USSS | SVX | Екатеринбург | Кольцово
UNII,3,ОЧП,АН,True,Енисейск,0,0.0,0.0,0,1,False,UNII | EIE | Енисейск
UIKE,3,ОЧП,АН,False,Ербогачен,7865,85.78,18.3,0,2,False,UIKE | ERG | Ербогачен
UEVV,3,ОЧП,АН,False,Жиганск,10908,160.28,19.62,0,2,False,UEVV | ZIX | Жиганск
UUBW,3,ОЧП,УА,True,Жуковский,425500,1556.0,0.0,58500,1,False,UUBW | ZIA | Раменское | Жуковский
UHME,2,ОЧП,АН,False,Залив Креста,11354,80.0,106.0,0,3,False,UHME | Залив Креста
UHML,2,ОЧП,АН,False,Залив Лаврентия,7344,77.0,125.0,0,2,False,UHML | Залив Лаврентия
UHBE,3,ОЧП,АН,True,Зея,2136,16.19,13.42,65833,1,False,UHBE | Зея | Зея
UESU,3,ОЧП,АН,False,Зырянка,8073,153.23,36.0,0,2,False,UESU | ZKP | Зырянка
UUBI,3,ОЧП,УА,True,Иваново,22953,582.6,75.75,62500,1,False,UUBI | IWA | Иваново | Южный
UOII,2,ОЧП,АН,True,Игарка,278039,2373.14,39.57,0,1,False,UOII | IAA | Игарка
USII,3,ОЧП,УА,True,Ижевск,315557,912.73,336.11,64000,1,False,USII | IJK | Ижевск
UIII,3,ОЧП,УА,True,Иркутск,1973584,9675.91,1800.19,75893,1,False,UIII | IKT | Иркутск
UWKJ,3,ОЧП,УА,True,Йошкар-Ола,465,0.0,0.0,63958,1,False,UWKJ | JOK | Йошкар-Ола
UWKD,3,ОЧП,УА,False,Казань,2623423,2360.13,607.5,61455,1,False,UWKD | KZN | Казань
UMKK,2,ОЧП,УА,True,Калининград,1788097,6678.66,1284.65,66340,1,False,UMKK | KGD | Калининград | Храброво
UUBC,3,ОЧП,УА,True,Калуга,18145,2.81,0.0,58724,1,False,UUBC | KLF | Калуга | Грабцево
UHPZ,3,ОЧП,АН,False,Каменское,0,0.0,0.0,0,4,False,UHPZ | Каменское
UNEE,1,ОЧП,УА,True,Кемерово,398026,3219.76,486.7,63500,1,False,UNEE | KEJ | Кемерово | Имени Алексея Леонова
UHMK,2,ОЧП,АН,False,Кепервеем,23349,1570.0,210.0,0,2,False,UHMK | KPW | Кепервеем
UIKK,3,ОЧП,АН,True,Киренск,29012,518.31,89.91,0,1,False,UIKK | KCK | Киренск
USKK,3,ОЧП,УА,True,Киров,166160,102.1,41.3,56200,1,False,USKK | KVX | Киров | Победилово
USRK,3,ОЧП,АН,True,Когалым,127382,730.05,0.0,61880,1,False,USRK | KGP | Когалым
UNKI,3,ОЧП,АН,True,Кодинск,3423,15.63,1.03,49661,1,False,UNKI | Кодинск
UHKK,3,ОЧП,АН,True,Комсомольск-на-Амуре (Хурба),15182,2032.66,113.57,51491,1,False,UHKK | KXK | Комсомольск-на-Амуре | Хурба
UUBA,3,ОЧП,УА,True,Кострома,7357,0.0,0.0,54600,1,False,UUBA | KMW | Кострома | Сокеркино
URKK,1,ОЧП,УА,False,Краснодар,3494987,5979.14,2132.94,62017,1,False,URKK | KRR | Краснодар | Пашковский
UNKL,3,ОЧП,УА,True,Красноярск,2258634,13852.29,1769.69,76285,1,False,UNKL | KJA | Красноярск | Емельяново
USUU,1,ОЧП,УА,True,Курган,63709,321.6,167.2,56950,1,False,USUU | KRO | Курган
UUOK,1,ОЧП,УА,True,Курск,32871,89.5,0.0,58724,1,False,UUOK | URS | Курск | Восточный
UNKY,1,ОЧП,УА,True,Кызыл,24786,13.33,0.58,76285,1,False,UNKY | KYZ | Кызыл
UERL,3,ОЧП,АН,False,Ленск,57341,775.73,155.47,0,2,False,UERL | ULK | Ленск | Ленск
UUOL,3,ОЧП,УА,True,Липецк,63821,0.0,0.0,56154,1,False,UUOL | LPK | Липецк
UHMM,3,ОЧП,УА,True,Магадан,376794,8309.0,1318.0,96958,1,False,UHMM | GDX | Магадан | Сокол
UEMM,3,ОЧП,АН,False,Маган,10672,295.96,18.87,0,2,False,UEMM | GYG | Маган
URMS,1,ОЧП,УА,True,Магас,231633,39.06,0.0,73293,1,False,URMS | IGT | Магас
USCM,1,ОЧП,УА,True,Магнитогорск,193175,374.1,39.7,64000,1,False,USCM | MQF | Магнитогорск
UHPN,3,ОЧП,АН,False,Манилы,1264,1.07,11.76,0,3,False,UHPN | Манилы
UHMO,3,ОЧП,АН,False,Марково,3332,105.0,39.0,0,2,False,UHMO | KVM | Марково | Марково
URML,1,ОЧП,УА,True,Махачкала,1067684,1487.1,556.4,65000,1,False,URML | MCX | Махачкала | Уйташ
UHPM,3,ОЧП,АН,False,Мильково,30,0.0,0.0,0,2,False,UHPM | Мильково
URMM,1,ОЧП,УА,True,Минеральные Воды,2180178,2111.85,819.43,63500,1,False,URMM | MRV | Минеральные Воды
UERR,3,ОЧП,АН,True,Мирный,329446,11075.36,788.54,68280,1,False,UERR | MJZ | Мирный
UEMA,3,ОЧП,АН,False,Мома,10143,158.7,27.0,0,2,False,UEMA | MQJ | Мома
UUWW,3,ОЧП,УА,True,Внуково,18138865,58493.98,10259.52,57500,1,False,UUWW | VKO | Москва | Внуково
UUDD,3,ОЧП,УА,False,Домодедово,30657854,122862.35,25472.5,58870,1,False,UUDD | DME | Москва | Домодедово
UUEE,3,ОЧП,УА,False,Шереметьево,39641443,293972.5,35727.3,62080,1,False,UUEE | SVO | Москва | Шереметьево
UNIM,3,ОЧП,АН,False,Мотыгино,3854,878.6,0.0,0,3,False,UNIM | Мотыгино
ULMM,2,ОЧП,УА,True,Мурманск,845928,1827.67,537.62,0,1,False,ULMM | MMK | Мурманск
USMM,2,ОЧП,АН,True,Надым,169313,373.04,82.95,67320,1,False,USMM | NYM | Надым
URMN,1,ОЧП,УА,True,Нальчик,236865,177.0,299.9,64000,1,False,URMN | NAL | Нальчик
ULAM,2,ОЧП,АН,True,Нарьян-Мар,183127,1258.51,366.91,64800,1,False,ULAM | NNM | Нарьян-Мар
UELL,3,ОЧП,АН,True,Нерюнгри,115336,279.4,119.0,0,1,False,UELL | NER | Нерюнгри | Чульман
UIUN,3,ОЧП,АН,True,Нижнеангарск,16379,24.45,20.03,0,1,False,UIUN | Нижнеангарск
USNN,3,ОЧП,УА,True,Нижневартовск,669872,3453.8,282.1,65000,1,False,USNN | NJC | Нижневартовск | Нижневартовск
UWKE,3,ОЧП,УА,True,Нижнекамск,587361,637.0,16.0,0,1,False,UWKE | NBC | Нижнекамск | Бегишево
UWGG,3,ОЧП,УА,True,Нижний Новгород,961491,948.38,311.97,62780,1,False,UWGG | GOJ | Нижний Новгород | Стригино
UHNN,3,ОЧП,АН,True,Николаевск-на-Амуре,35415,46.62,135.34,86572,1,False,UHNN | NLI | Николаевск-на-Амуре
UHPX,3,ОЧП,АН,False,Никольское,1863,4.54,10.84,0,3,False,UHPX | Никольское
UNWW,1,ОЧП,УА,True,Новокузнецк,234409,1621.3,95.5,64000,1,False,UNWW | NOZ | Новокузнецк | Спиченково
UNNT,1,ОЧП,УА,False,Толмачево,4809605,22012.5,7610.5,64100,1,False,UNNT | OVB | Новосибирск | Толмачёво
USMU,2,ОЧП,УА,True,Новый Уренгой,937628,4167.8,210.8,0,1,False,USMU | NUX | Новый Уренгой
UHSN,3,ОЧП,АН,True,Ноглики,40938,0.0,0.0,92548,1,True,UHSN | NGK | Ноглики
UOOO,2,ОЧП,УА,True,Норильск,461723,9999.63,1440.2,60971,1,True,UOOO | NSK | Норильск | Алыкель
USRO,3,ОЧП,АН,True,Ноябрьск,209479,624.82,147.04,66066,1,True,USRO | NOJ | Ноябрьск
UENN,3,ОЧП,АН,False,Нюрба,20460,30.39,73.6,0,2,True,UENN | NYR | Нюрба
UHQO,3,ОЧП,АН,False,Озерная,13,0.04,0.48,0,3,True,UHQO | Запорожье | Озерная
UEMO,3,ОЧП,АН,False,Олекминск,33653,70.1,96.73,0,2,True,UEMO | OLZ | Олёкминск
UERO,3,ОЧП,АН,False,Оленек,10388,214.51,19.53,0,2,True,UERO | ONK | Оленек
UHMN,3,ОЧП,АН,False,Омолон,1792,154.0,10.0,0,2,True,UHMN | Омолон
UNOO,1,ОЧП,УА,True,Омск,948248,3267.0,664.0,59907,1,True,UNOO | OMS | Омск Центральный
UHMF,3,ОЧП,АН,False,Омсукчан,7015,219.37,0.0,73600,2,True,UHMF | Омсукчан
UWOO,1,ОЧП,УА,True,Оренбург,744303,1218.06,598.41,65748,1,True,UWOO | REN | Оренбург
UWOR,1,ОЧП,УА,True,Орск,26310,79.0,0.0,63882,1,True,UWOR | OSW | Орск
UHPD,3,ОЧП,АН,True,Оссора,8124,37.11,63.83,0,1,True,UHPD | Оссора
UHSH,3,ОЧП,АН,False,Оха,44347,86.53,28.04,96151,2,True,UHSH | OHH | Оха | Новостройка
UHOO,3,ОЧП,АН,True,Охотск,27777,1046.58,84.8,0,1,True,UHOO | OHO | Охотск
UHPL,3,ОЧП,АН,True,Палана,9570,20.09,81.41,0,1,True,UHPL | Палана
ZD5W,3,ОЧП,АН,False,Парамушир,0,0.0,0.0,0,3,True,ZD5W | Парамушир
UHPA,3,ОЧП,АН,False,Пахачи,1429,4.98,5.94,0,3,True,UHPA | Пахачи
UHMP,2,ОЧП,АН,True,Певек,24226,959.0,113.0,0,1,True,UHMP | PWE | Певек
UWPP,3,ОЧП,УА,True,Пенза,152881,22.78,0.0,61136,1,True,UWPP | PEZ | Пенза
USPP,3,ОЧП,УА,True,Пермь,1338373,2063.11,866.5,61570,1,True,USPP | PEE | Пермь | Большое Савино
ULPB,2,ОЧП,УА,True,Петрозаводск,30301,44.16,0.83,65050,1,True,ULPB | PES | Петрозаводск | Бесовец
UHPP,3,ОЧП,УА,True,Петропавловск-Камчатский,658689,10020.97,1635.3,67717,1,True,UHPP | PKC | Петропавловск-Камчатский | Елизово
UNIP,3,ОЧП,АН,True,Подкаменная Тунгуска,10560,16.9,18.65,63202,1,True,UNIP | TGP | Подкаменная Тунгуска
UERP,2,ОЧП,АН,True,Полярный,58237,502.76,21.33,0,1,True,UERP | PYJ | Полярный
UHMD,2,ОЧП,АН,False,Провидения,6200,32.0,87.0,0,2,True,UHMD | PVS | Бухта Провидения
ULOO,2,ОЧП,УА,True,Псков,4142,33.57,0.0,0,1,True,ULOO | PKV | Псков | Кресты
URRP,1,ОЧП,УА,False,Ростов-на-Дону,187252,329.11,62.17,61680,1,True,URRP | ROV | Ростов-на-Дону | Платов
USDA,2,ОЧП,АН,True,Сабетта,369819,5778.85,0.0,69228,1,True,USDA | SBT | Сабетта
UEBS,3,ОЧП,АН,False,Саккырыр,6251,225.21,15.48,0,2,True,UEBS | SUK | Саккырыр
USDD,2,ОЧП,УА,True,Салехард,298104,959.7,411.7,73878,1,True,USDD | SLY | Салехард
UWWW,1,ОЧП,УА,True,Самара,2631729,2936.24,579.01,61650,1,True,UWWW | KUF | Самара | Курумоч
UEMS,3,ОЧП,АН,False,Сангар,1598,4.9,14.32,0,2,True,UEMS | Сангар
ULLI,2,ОЧП,УА,False,Санкт-Петербург,16125520,28751.0,5855.0,62800,1,True,ULLI | LED | Санкт-Петербург | Пулково
UWPS,3,ОЧП,УА,True,Саранск,0,0.0,0.0,61014,1,True,UWPS | SKX | Саранск
UWSG,1,ОЧП,УА,True,Саратов,481503,490.6,399.6,59748,1,True,UWSG | Саратов | Гагарин
UERS,2,ОЧП,АН,False,Саскылах,13704,253.5,17.5,0,2,True,UERS | SYS | Саскылах
URFB,1,ОЧП,УА,True,Севастополь,0,0.0,0.0,0,1,True,URFB | Севастополь | Бельбек
UNIS,3,ОЧП,АН,True,Северо-Енисейск,24521,7.14,43.56,73280,1,True,UNIS | Северо-Енисейск
UHMW,3,ОЧП,АН,False,Северо-Эвенск,7745,41.9,24.58,0,2,True,UHMW | SWV | Северо-Эвенск
UHMS,3,ОЧП,АН,True,Сеймчан,2008,102.79,0.0,0,1,True,UHMS | Сеймчан
URFF,1,ОЧП,УА,False,Симферополь,5128743,7112.9,642.6,78263,1,True,URFF | Симферополь
UHPS,3,ОЧП,АН,False,Соболево,807,3.59,8.72,0,3,True,UHPS | Соболево | Соболево
ULAS,2,ОЧП,АН,True,Соловки,9873,47.79,19.44,0,1,True,ULAS | CSH | Соловки
URSS,1,ОЧП,УА,False,Сочи,5681974,4107.4,228.04,63750,1,True,URSS | AER | Сочи
UESK,2,ОЧП,АН,False,Среднеколымск,21468,784.63,72.89,0,2,True,UESK | SEK | Среднеколымск
URMT,1,ОЧП,УА,True,Ставрополь,356210,794.0,437.0,74759,1,True,URMT | STW | Ставрополь | Шпаковское
UENS,3,ОЧП,АН,False,Сунтар,11303,21.55,58.5,0,2,True,UENS | SUY | Сунтар
USRR,3,ОЧП,УА,True,Сургут,1721044,3579.3,651.0,62110,1,True,USRR | SGC | Сургут
UUYY,2,ОЧП,УА,True,Сыктывкар,511582,733.83,293.51,0,1,True,UUYY | SCW | Сыктывкар
UIKG,3,ОЧП,АН,False,Таксимо,12474,32.02,9.78,0,2,True,UIKG | Таксимо
UECT,3,ОЧП,АН,True,Талакан,265485,816.71,0.0,75529,1,True,UECT | TLK | Талакан
UUOT,3,ОЧП,УА,True,Тамбов,31294,0.0,0.0,58433,1,True,UUOT | TBW | Тамбов | Донское
USDS,3,ОЧП,АН,False,Тарко-Сале,14412,457.3,25.12,62971,2,True,USDS | TQL | Тарко-Сале
UHPG,3,ОЧП,АН,False,Тигиль,4047,14.17,23.51,0,2,True,UHPG | Тигиль
UEST,2,ОЧП,АН,True,Тикси,17253,517.8,74.28,0,1,True,UEST | IKS | Тикси
UHPT,3,ОЧП,АН,False,Тиличики,32928,65.47,254.82,0,3,True,UHPT | Тиличики
USDO,3,ОЧП,АН,False,Толька,7872,71.92,16.17,0,2,True,USDO | Толька
UNTT,3,ОЧП,УА,True,Томск,617717,1896.32,418.84,64867,1,True,UNTT | TOF | Томск | Богашёво
UNIT,3,ОЧП,АН,True,Тура,2066,10.22,5.65,63305,1,True,UNIT | Тура-Горный
UOTT,3,ОЧП,АН,True,Туруханск,19684,564.23,52.03,62256,1,True,UOTT | THX | Туруханск | Туруханск
UHBW,1,ОЧП,АН,True,Тында,5794,0.85,0.0,65833,1,True,UHBW | TYD | Тында | Тында
USTR,3,ОЧП,УА,True,Тюмень,1822909,3946.0,888.9,61680,1,True,USTR | TJM | Тюмень | Рощино
